"nama_sekolah","npsn","bp","status","pd","guru","kecamatan","wilayah","periode_data"
"SD NEGERI SEMANAN 04 PG","20105484","SD","Negeri","410","16","Kali Deres","Kota Jakarta Barat","202012"
"SD NEGERI SEMANAN 08 PG","20105488","SD","Negeri","336","16","Kali Deres","Kota Jakarta Barat","202012"
"SD NEGERI SEMANAN 11 PETANG","20105491","SD","Negeri","380","16","Kali Deres","Kota Jakarta Barat","202012"
"SD NEGERI SEMANAN 12 PG","20105492","SD","Negeri","364","16","Kali Deres","Kota Jakarta Barat","202012"
"SD NEGERI SEMANAN 14 PT","20105494","SD","Negeri","368","16","Kali Deres","Kota Jakarta Barat","202012"
"SD NEGERI SEMPER TIMUR 05 PG JAKARTA","20100591","SD","Negeri","347","16","Cilincing","Kota Jakarta Utara","202012"
"SD NEGERI SERDANG 05 PAGI","20104679","SD","Negeri","367","16","Kemayoran","Kota Jakarta Pusat","202012"
"SD NEGERI SRENGSENG SAWAH 12 PAGI","20106196","SD","Negeri","334","16","Jagakarsa","Kota Jakarta Selatan","202012"
"SD NEGERI TUGU UTARA 03 PG JAKARTA","20104954","SD","Negeri","399","16","Koja","Kota Jakarta Utara","202012"
"SD NEGERI ULUJAMI 04 PAGI","20102207","SD","Negeri","370","16","Pesanggrahan","Kota Jakarta Selatan","202012"
"SD NEGERI WIJAYA KUSUMA 03 PG","20105592","SD","Negeri","365","16","Grogol Petamburan","Kota Jakarta Barat","202012"
"SD NEGERI WIJAYA KUSUMA 05 PG","20105594","SD","Negeri","370","16","Grogol Petamburan","Kota Jakarta Barat","202012"
"SDN Batu Ampar 11 Pg.","20104262","SD","Negeri","380","16","Kramat Jati","Kota Jakarta Timur","202012"
"SDN Cengkareng Timur 07 Pagi","20105171","SD","Negeri","379","16","Cengkareng","Kota Jakarta Barat","202012"
"SDN Cijantung 03 Pg.","20108815","SD","Negeri","382","16","Pasar Rebo","Kota Jakarta Timur","202012"
"SDN Cikoko 01 Pg.","20103112","SD","Negeri","270","16","Pancoran","Kota Jakarta Selatan","202012"
"SDN CILANDAK BARAT 03 PG.","20105831","SD","Negeri","311","16","Cilandak","Kota Jakarta Selatan","202012"
"SDN CIPINANG MUARA 05 PAGI","20108533","SD","Negeri","380","16","Jatinegara","Kota Jakarta Timur","202012"
"SDN Cipinang Muara 06 Pg.","20108534","SD","Negeri","373","16","Jatinegara","Kota Jakarta Timur","202012"
"SD NEGERI TEGAL ALUR 03 PG","20105561","SD","Negeri","382","17","Kali Deres","Kota Jakarta Barat","202012"
"SD NEGERI UJUNG MENTENG 01 PAGI","20108744","SD","Negeri","384","17","Cakung","Kota Jakarta Timur","202012"
"SD NEGERI UJUNG MENTENG 07 PAGI","20103475","SD","Negeri","382","17","Cakung","Kota Jakarta Timur","202012"
"SD NEGERI UTAN PANJANG 03 PAGI","20104709","SD","Negeri","387","17","Kemayoran","Kota Jakarta Pusat","202012"
"SDN BARU 07 PAGI","20108670","SD","Negeri","399","17","Pasar Rebo","Kota Jakarta Timur","202012"
"SDN BENDUNGAN HILIR 05 PAGI","20100392","SD","Negeri","321","17","Tanah Abang","Kota Jakarta Pusat","202012"
"SDN BENDUNGAN HILIR 09 PAGI","20100379","SD","Negeri","365","17","Tanah Abang","Kota Jakarta Pusat","202012"
"SDN BINTARO 04 PAGI","20103140","SD","Negeri","397","17","Pesanggrahan","Kota Jakarta Selatan","202012"
"SDN Bintaro 13 Pg.","20103150","SD","Negeri","366","17","Pesanggrahan","Kota Jakarta Selatan","202012"
"SDN Cakung Timur 04 Pg.","20104275","SD","Negeri","380","17","Cakung","Kota Jakarta Timur","202012"
"SDN Cawang 04","20104380","SD","Negeri","404","17","Kramat Jati","Kota Jakarta Timur","202012"
"SDN CEGER 02 PG","20104385","SD","Negeri","480","17","Cipayung","Kota Jakarta Timur","202012"
"SDN CILINCING 06","20101013","SD","Negeri","411","17","Cilincing","Kota Jakarta Utara","202012"
"SDN Cilincing 07 Pg.","20104846","SD","Negeri","463","17","Cilincing","Kota Jakarta Utara","202012"
"SDN Cipayung 02 Pg.","20104367","SD","Negeri","415","17","Cipayung","Kota Jakarta Timur","202012"
"SDN Cipayung 03 Pg.","20104347","SD","Negeri","413","17","Cipayung","Kota Jakarta Timur","202012"
"SDN Cipayung 05 Pg.","20104344","SD","Negeri","480","17","Cipayung","Kota Jakarta Timur","202012"
"SDN Cipinang 03 Pg.","20104337","SD","Negeri","440","17","Pulo Gadung","Kota Jakarta Timur","202012"
"SDN Cipinang Besar Selatan 08 Pg.","20108440","SD","Negeri","343","17","Jatinegara","Kota Jakarta Timur","202012"
"SDN Cipinang Besar Selatan 13 Pg.","20108442","SD","Negeri","297","17","Jatinegara","Kota Jakarta Timur","202012"
"SDN CIPINANG MUARA 12","20108538","SD","Negeri","373","17","Jatinegara","Kota Jakarta Timur","202012"
"SDN Dukuh 05 Pg.","20104147","SD","Negeri","376","17","Kramat Jati","Kota Jakarta Timur","202012"
"SDN Duren Sawit 07 Pg.","20108562","SD","Negeri","375","17","Duren Sawit","Kota Jakarta Timur","202012"
"SDN Duren Tiga 05 Pagi","20102943","SD","Negeri","347","17","Pancoran","Kota Jakarta Selatan","202012"
"SDN Duren Tiga 13 Pg.","20105881","SD","Negeri","286","17","Pancoran","Kota Jakarta Selatan","202012"
"SDN Gandaria Selatan 03 Pg.","20105885","SD","Negeri","342","17","Cilandak","Kota Jakarta Selatan","202012"
"SDN Gedong 10 Pg.","20108824","SD","Negeri","402","17","Pasar Rebo","Kota Jakarta Timur","202012"
"SDN Jagakarsa 03 Pg.","20105931","SD","Negeri","421","17","Jagakarsa","Kota Jakarta Selatan","202012"
"SDN Kalibata 07 Pg.","20105949","SD","Negeri","359","17","Pancoran","Kota Jakarta Selatan","202012"
"SDN Karet Tengsin 15","20100550","SD","Negeri","359","17","Tanah Abang","Kota Jakarta Pusat","202012"
"SDN Kebon Pala 07 Pg.","20104130","SD","Negeri","343","17","Makasar","Kota Jakarta Timur","202012"
"SDN KLENDER 10 PAGI","20108583","SD","Negeri","400","17","Duren Sawit","Kota Jakarta Timur","202012"
"SDN KLENDER 21","20108592","SD","Negeri","366","17","Duren Sawit","Kota Jakarta Timur","202012"
"SDN Kramat 03 Pg.","20104632","SD","Negeri","358","17","Senen","Kota Jakarta Pusat","202012"
"SDN Lubang Buaya 05 Pg.","20104240","SD","Negeri","415","17","Cipayung","Kota Jakarta Timur","202012"
"SDN Makasar 09 Pg.","20104180","SD","Negeri","380","17","Makasar","Kota Jakarta Timur","202012"
"SDN Malaka Jaya 06 Pg.","20108601","SD","Negeri","362","17","Duren Sawit","Kota Jakarta Timur","202012"
"SDN Mampang Prapatan 02 Pg.","20102269","SD","Negeri","349","17","Mampang Prapatan","Kota Jakarta Selatan","202012"
"SDN Marunda 01 Pg.","20104871","SD","Negeri","353","17","Cilincing","Kota Jakarta Utara","202012"
"SDN Papanggo 03 Pg.","20104879","SD","Negeri","398","17","Tanjung Priok","Kota Jakarta Utara","202012"
"SDN Paseban 03 Pg.","20100459","SD","Negeri","318","17","Senen","Kota Jakarta Pusat","202012"
"SDN Paseban 18 Pg.","20100496","SD","Negeri","288","17","Senen","Kota Jakarta Pusat","202012"
"SDN Pegangsaan Dua 01","20104880","SD","Negeri","335","17","Kelapa Gading","Kota Jakarta Utara","202012"
"SDN Pejaten Timur 20","20106105","SD","Negeri","355","17","Pasar Minggu","Kota Jakarta Selatan","202012"
"SDN Pekayon 10 Pg.","20108841","SD","Negeri","381","17","Pasar Rebo","Kota Jakarta Timur","202012"
"SDN PEKAYON 12","20108829","SD","Negeri","371","17","Pasar Rebo","Kota Jakarta Timur","202012"
"SDN Pela Mampang 05 Pg.","20106113","SD","Negeri","321","17","Mampang Prapatan","Kota Jakarta Selatan","202012"
