"nama_sekolah","npsn","bp","status","pd","guru","kecamatan","wilayah","periode_data"
"SD NEGERI KALIDERES 13 PT","20105274","SD","Negeri","304","13","Kali Deres","Jakarta Barat","201912"
"SD NEGERI KALIDERES 14 PT","20105275","SD","Negeri","301","13","Kali Deres","Jakarta Barat","201912"
"SD NEGERI KAMAL 01 PG","20105276","SD","Negeri","341","16","Kali Deres","Jakarta Barat","201912"
"SD NEGERI KAMAL 02 PG","20105277","SD","Negeri","390","14","Kali Deres","Jakarta Barat","201912"
"SD NEGERI KAMAL 03","20105278","SD","Negeri","583","23","Kali Deres","Jakarta Barat","201912"
"SD NEGERI KAMAL 06 PG","20105281","SD","Negeri","397","16","Kali Deres","Jakarta Barat","201912"
"SD NEGERI KAMAL 08 PT","20105283","SD","Negeri","345","14","Kali Deres","Jakarta Barat","201912"
"SD NEGERI KAMAL 09","20105284","SD","Negeri","416","18","Kali Deres","Jakarta Barat","201912"
"SD NEGERI KAMAL 10 PT","20105285","SD","Negeri","251","11","Kali Deres","Jakarta Barat","201912"
"SD NEGERI PEGADUNGAN 01 PG","20105445","SD","Negeri","288","11","Kali Deres","Jakarta Barat","201912"
"SD NEGERI PEGADUNGAN 03 PG","20105447","SD","Negeri","375","14","Kali Deres","Jakarta Barat","201912"
"SD NEGERI PEGADUNGAN 05 PG","20105449","SD","Negeri","338","14","Kali Deres","Jakarta Barat","201912"
"SD NEGERI PEGADUNGAN 07 PG","20109142","SD","Negeri","251","10","Kali Deres","Jakarta Barat","201912"
"SD NEGERI PEGADUNGAN 10 PT","20105454","SD","Negeri","244","9","Kali Deres","Jakarta Barat","201912"
"SD NEGERI PEGADUNGAN 12 PG","20105457","SD","Negeri","354","13","Kali Deres","Jakarta Barat","201912"
"SD NEGERI PEGADUNGAN 13 PAGI","20105458","SD","Negeri","370","16","Kali Deres","Jakarta Barat","201912"
"SD NEGERI PEGADUNGAN 14 PG","20108945","SD","Negeri","344","12","Kali Deres","Jakarta Barat","201912"
"SD NEGERI SEMANAN 01 PG","20105481","SD","Negeri","313","14","Kali Deres","Jakarta Barat","201912"
"SD NEGERI SEMANAN 02 PT","20105482","SD","Negeri","311","14","Kali Deres","Jakarta Barat","201912"
"SD NEGERI SEMANAN 03 PG","20105483","SD","Negeri","327","14","Kali Deres","Jakarta Barat","201912"
"SD NEGERI SEMANAN 04 PG","20105484","SD","Negeri","415","16","Kali Deres","Jakarta Barat","201912"
"SD NEGERI SEMANAN 06 PG","20105486","SD","Negeri","370","15","Kali Deres","Jakarta Barat","201912"
"SD NEGERI SEMANAN 07 PT","20105487","SD","Negeri","231","11","Kali Deres","Jakarta Barat","201912"
"SD NEGERI SEMANAN 08 PG","20105488","SD","Negeri","340","13","Kali Deres","Jakarta Barat","201912"
"SD NEGERI SEMANAN 10 PETANG","20105490","SD","Negeri","376","15","Kali Deres","Jakarta Barat","201912"
"SD NEGERI SEMANAN 11 PETANG","20105491","SD","Negeri","384","15","Kali Deres","Jakarta Barat","201912"
"SD NEGERI SEMANAN 12 PG","20105492","SD","Negeri","383","15","Kali Deres","Jakarta Barat","201912"
"SD NEGERI SEMANAN 13 PT","20105493","SD","Negeri","338","14","Kali Deres","Jakarta Barat","201912"
"SD NEGERI SEMANAN 14 PT","20105494","SD","Negeri","368","16","Kali Deres","Jakarta Barat","201912"
"SD NEGERI TEGAL ALUR 01 PG","20105549","SD","Negeri","285","14","Kali Deres","Jakarta Barat","201912"
"SD NEGERI TEGAL ALUR 03 PG","20105561","SD","Negeri","370","16","Kali Deres","Jakarta Barat","201912"
"SD NEGERI TEGAL ALUR 04 PG","20105562","SD","Negeri","250","12","Kali Deres","Jakarta Barat","201912"
"SD NEGERI TEGAL ALUR 07 PG","20105565","SD","Negeri","327","14","Kali Deres","Jakarta Barat","201912"
"SD NEGERI TEGAL ALUR 08 PG","20105566","SD","Negeri","384","18","Kali Deres","Jakarta Barat","201912"
"SD NEGERI TEGAL ALUR 10 PG","20105569","SD","Negeri","272","11","Kali Deres","Jakarta Barat","201912"
"SD NEGERI TEGAL ALUR 11 PG","20105570","SD","Negeri","247","11","Kali Deres","Jakarta Barat","201912"
"SD NEGERI TEGAL ALUR 12 PT","20105571","SD","Negeri","312","12","Kali Deres","Jakarta Barat","201912"
"SD NEGERI TEGAL ALUR 15 PG","20105574","SD","Negeri","286","10","Kali Deres","Jakarta Barat","201912"
"SD NEGERI TEGAL ALUR 16 PT","20105575","SD","Negeri","264","12","Kali Deres","Jakarta Barat","201912"
"SD NEGERI TEGAL ALUR 20 PT","20105579","SD","Negeri","276","11","Kali Deres","Jakarta Barat","201912"
"SD NEGERI TEGAL ALUR 21 PT","20105580","SD","Negeri","289","11","Kali Deres","Jakarta Barat","201912"
"SDN Kalideres 01 Pagi","20105263","SD","Negeri","344","13","Kali Deres","Jakarta Barat","201912"
"SDN KALIDERES 02 PETANG","20101935","SD","Negeri","285","14","Kali Deres","Jakarta Barat","201912"
"SDN Kalideres 03 Pagi.","20105265","SD","Negeri","282","13","Kali Deres","Jakarta Barat","201912"
"SDN KALIDERES 04 PETANG","20105266","SD","Negeri","306","13","Kali Deres","Jakarta Barat","201912"
"SDN Kalideres 06 Pg.","20105268","SD","Negeri","284","14","Kali Deres","Jakarta Barat","201912"
"SDN Kalideres 07 Pg.","20105269","SD","Negeri","544","22","Kali Deres","Jakarta Barat","201912"
"SDN Kalideres 09 Pg.","20105271","SD","Negeri","235","9","Kali Deres","Jakarta Barat","201912"
"SDN Kalideres 10 Pagi","20105272","SD","Negeri","326","15","Kali Deres","Jakarta Barat","201912"
"SDN Kamal 05 Pg.","20105280","SD","Negeri","383","14","Kali Deres","Jakarta Barat","201912"
"SDN KAMAL 07 PG","20105282","SD","Negeri","317","11","Kali Deres","Jakarta Barat","201912"
"SDN Pegadungan 02 Pg.","20105446","SD","Negeri","323","14","Kali Deres","Jakarta Barat","201912"
"SDN PEGADUNGAN 04 PG","20105448","SD","Negeri","291","12","Kali Deres","Jakarta Barat","201912"
"SDN Pegadungan 06 Pg.","20105450","SD","Negeri","299","14","Kali Deres","Jakarta Barat","201912"
"SDN PEGADUNGAN 08 PT","20105452","SD","Negeri","249","9","Kali Deres","Jakarta Barat","201912"
"SDN PEGADUNGAN 11 PG","20105455","SD","Negeri","527","21","Kali Deres","Jakarta Barat","201912"
"SDN PEGADUNGAN 15 PT","20108946","SD","Negeri","285","10","Kali Deres","Jakarta Barat","201912"
"SDN Semanan 05 Pg.","20105485","SD","Negeri","386","15","Kali Deres","Jakarta Barat","201912"
"SDN SEMANAN 09 PAGI","20105489","SD","Negeri","374","14","Kali Deres","Jakarta Barat","201912"
"SDN Tegal Alur 02","20105560","SD","Negeri","524","20","Kali Deres","Jakarta Barat","201912"
"SDN Tegal Alur 06 Pg.","20105564","SD","Negeri","342","12","Kali Deres","Jakarta Barat","201912"
"SDN Tegal Alur 09 Pg.","20105568","SD","Negeri","313","11","Kali Deres","Jakarta Barat","201912"
"SDN Tegal Alur 13 Pt.","20105572","SD","Negeri","303","13","Kali Deres","Jakarta Barat","201912"
"SDN Tegal Alur 14 Pt.","20105573","SD","Negeri","282","10","Kali Deres","Jakarta Barat","201912"
"SDN Tegal Alur 17","20105576","SD","Negeri","537","21","Kali Deres","Jakarta Barat","201912"
"SDN Tegal Alur 19 Pt.","20105578","SD","Negeri","271","12","Kali Deres","Jakarta Barat","201912"
"SD ASIH MULIA","20105618","SD","Swasta","190","9","Kali Deres","Jakarta Barat","201912"
"SD BINA BANGSA","69896552","SD","Swasta","264","13","Kali Deres","Jakarta Barat","201912"
"SD BINA INSAN KAMIL (BINKA)","20109359","SD","Swasta","294","14","Kali Deres","Jakarta Barat","201912"
"SD BINA KUSUMA","20105631","SD","Swasta","254","20","Kali Deres","Jakarta Barat","201912"
"SD DJUWITA","20105651","SD","Swasta","20","8","Kali Deres","Jakarta Barat","201912"
"SD GALATIA 3","20105661","SD","Swasta","80","9","Kali Deres","Jakarta Barat","201912"
"SD HARAPAN MULIA","69969945","SD","Swasta","81","10","Kali Deres","Jakarta Barat","201912"
"SD IT DAARUN NA IIM","20110202","SD","Swasta","272","17","Kali Deres","Jakarta Barat","201912"
"SD IT FAJRUL ISLAM","20105658","SD","Swasta","256","15","Kali Deres","Jakarta Barat","201912"
"SD KARTIKA X-5","20105696","SD","Swasta","262","11","Kali Deres","Jakarta Barat","201912"
"SD KASIH IMMANUEL","69925709","SD","Swasta","75","4","Kali Deres","Jakarta Barat","201912"
"SD KRISTEN KASIH KEMULIAAN","69952802","SD","Swasta","133","12","Kali Deres","Jakarta Barat","201912"
"SD MAHABODHI VIDYA PLUS","69768298","SD","Swasta","346","38","Kali Deres","Jakarta Barat","201912"
"SD PELITA BANGSA","20105655","SD","Swasta","261","13","Kali Deres","Jakarta Barat","201912"
"SD PERMATA","20109574","SD","Swasta","145","9","Kali Deres","Jakarta Barat","201912"
"SD SAN MARINO","20105754","SD","Swasta","257","16","Kali Deres","Jakarta Barat","201912"
"SD SANTO KRISTOFORUS II","20105769","SD","Swasta","583","27","Kali Deres","Jakarta Barat","201912"
"SDIT ALMAKA","69756118","SD","Swasta","692","41","Kali Deres","Jakarta Barat","201912"
"SDIT BAITURRAHMAN CITRA","69942194","SD","Swasta","258","16","Kali Deres","Jakarta Barat","201912"
"SDS Al-Qomar","20105610","SD","Swasta","243","17","Kali Deres","Jakarta Barat","201912"
"SDS AN-NUR","NP029910","SD","Swasta","161","7","Kali Deres","Jakarta Barat","201912"
"SDS Ananda Islamic School","69755635","SD","Swasta","196","12","Kali Deres","Jakarta Barat","201912"
"SD NEGERI CENGKARENG BARAT 01 PG","20105145","SD","Negeri","250","9","Cengkareng","Jakarta Barat","201912"
"SD NEGERI CENGKARENG BARAT 02 PT","20105146","SD","Negeri","195","10","Cengkareng","Jakarta Barat","201912"
"SD NEGERI CENGKARENG BARAT 03 PG","20102023","SD","Negeri","373","16","Cengkareng","Jakarta Barat","201912"
"SD NEGERI CENGKARENG BARAT 04 PTG","20102022","SD","Negeri","261","10","Cengkareng","Jakarta Barat","201912"
"SD NEGERI CENGKARENG BARAT 05 PG","20105149","SD","Negeri","290","12","Cengkareng","Jakarta Barat","201912"
"SD NEGERI CENGKARENG BARAT 06 PT","20102034","SD","Negeri","235","12","Cengkareng","Jakarta Barat","201912"
"SD NEGERI CENGKARENG BARAT 07 PG","20105151","SD","Negeri","308","12","Cengkareng","Jakarta Barat","201912"
"SD NEGERI CENGKARENG BARAT 08","20105152","SD","Negeri","236","10","Cengkareng","Jakarta Barat","201912"
"SD NEGERI CENGKARENG BARAT 09 PG","20105153","SD","Negeri","346","13","Cengkareng","Jakarta Barat","201912"
"SD NEGERI CENGKARENG BARAT 10 PG","20105154","SD","Negeri","369","14","Cengkareng","Jakarta Barat","201912"
"SD NEGERI CENGKARENG BARAT 11","20102044","SD","Negeri","512","21","Cengkareng","Jakarta Barat","201912"
"SD NEGERI CENGKARENG BARAT 12 PG","20105156","SD","Negeri","225","9","Cengkareng","Jakarta Barat","201912"
"SD NEGERI CENGKARENG BARAT 13 PG","20105157","SD","Negeri","329","17","Cengkareng","Jakarta Barat","201912"
"SD NEGERI CENGKARENG BARAT 14 PAGI","20105158","SD","Negeri","355","13","Cengkareng","Jakarta Barat","201912"
"SD NEGERI CENGKARENG BARAT 15 PAGI","20105159","SD","Negeri","353","14","Cengkareng","Jakarta Barat","201912"
"SD NEGERI CENGKARENG BARAT 16 PG","20105160","SD","Negeri","395","16","Cengkareng","Jakarta Barat","201912"
"SD NEGERI CENGKARENG BARAT 17 PT","20105161","SD","Negeri","276","12","Cengkareng","Jakarta Barat","201912"
"SD NEGERI CENGKARENG BARAT 19 PG","20105163","SD","Negeri","315","13","Cengkareng","Jakarta Barat","201912"
"SD NEGERI CENGKARENG TIMUR 01 PG","20105165","SD","Negeri","481","20","Cengkareng","Jakarta Barat","201912"
"SD NEGERI CENGKARENG TIMUR 03 PG","20105167","SD","Negeri","292","13","Cengkareng","Jakarta Barat","201912"
"SD NEGERI CENGKARENG TIMUR 04 PT","20105168","SD","Negeri","227","10","Cengkareng","Jakarta Barat","201912"
"SD NEGERI CENGKARENG TIMUR 05 PG","20105169","SD","Negeri","477","17","Cengkareng","Jakarta Barat","201912"
"SD NEGERI CENGKARENG TIMUR 09 PG","20105172","SD","Negeri","279","13","Cengkareng","Jakarta Barat","201912"
"SD NEGERI CENGKARENG TIMUR 10 PG","20105173","SD","Negeri","309","12","Cengkareng","Jakarta Barat","201912"
"SD NEGERI CENGKARENG TIMUR 11 PT","20102107","SD","Negeri","271","12","Cengkareng","Jakarta Barat","201912"
"SD NEGERI CENGKARENG TIMUR 12 PG","20105175","SD","Negeri","219","10","Cengkareng","Jakarta Barat","201912"
"SD NEGERI CENGKARENG TIMUR 13 PTG","20105176","SD","Negeri","286","10","Cengkareng","Jakarta Barat","201912"
"SD NEGERI CENGKARENG TIMUR 14 PG","20105177","SD","Negeri","332","13","Cengkareng","Jakarta Barat","201912"
"SD NEGERI CENGKARENG TIMUR 15 PG","20105178","SD","Negeri","324","13","Cengkareng","Jakarta Barat","201912"
"SD NEGERI CENGKARENG TIMUR 17 PG","20105180","SD","Negeri","273","12","Cengkareng","Jakarta Barat","201912"
"SD NEGERI CENGKARENG TIMUR 18 PG","20105181","SD","Negeri","319","11","Cengkareng","Jakarta Barat","201912"
"SD NEGERI CENGKARENG TIMUR 19 PT","20102116","SD","Negeri","277","12","Cengkareng","Jakarta Barat","201912"
"SD NEGERI CENGKARENG TIMUR 20 PT","20102117","SD","Negeri","200","9","Cengkareng","Jakarta Barat","201912"
"SD NEGERI CENGKARENG TIMUR 21 PG","20109049","SD","Negeri","385","14","Cengkareng","Jakarta Barat","201912"
"SD NEGERI CENGKARENG TIMUR 22 PT","20102130","SD","Negeri","279","11","Cengkareng","Jakarta Barat","201912"
"SD NEGERI DURI KOSAMBI 01 PG","20102083","SD","Negeri","519","21","Cengkareng","Jakarta Barat","201912"
"SD NEGERI DURI KOSAMBI 02 PG","20102082","SD","Negeri","311","13","Cengkareng","Jakarta Barat","201912"
"SD NEGERI DURI KOSAMBI 04 PG","20102080","SD","Negeri","523","23","Cengkareng","Jakarta Barat","201912"
"SD NEGERI DURI KOSAMBI 05 PT","20105199","SD","Negeri","369","15","Cengkareng","Jakarta Barat","201912"
"SD NEGERI DURI KOSAMBI 06 PG","20105200","SD","Negeri","529","20","Cengkareng","Jakarta Barat","201912"
"SD NEGERI DURI KOSAMBI 07 PG","20102077","SD","Negeri","756","32","Cengkareng","Jakarta Barat","201912"
"SD NEGERI DURI KOSAMBI 09 PG","20102087","SD","Negeri","396","17","Cengkareng","Jakarta Barat","201912"
"SD NEGERI DURI KOSAMBI 10 PG","20109050","SD","Negeri","337","17","Cengkareng","Jakarta Barat","201912"
"SD NEGERI DURI KOSAMBI 11 PT","20105205","SD","Negeri","342","13","Cengkareng","Jakarta Barat","201912"
"SD NEGERI KAPUK 01 PG","20105286","SD","Negeri","393","14","Cengkareng","Jakarta Barat","201912"
"SD NEGERI KAPUK 02 PAGI","20105287","SD","Negeri","388","14","Cengkareng","Jakarta Barat","201912"
"SD NEGERI KAPUK 03 PG","20105288","SD","Negeri","400","14","Cengkareng","Jakarta Barat","201912"
"SD NEGERI KAPUK 04 PT","20101933","SD","Negeri","397","14","Cengkareng","Jakarta Barat","201912"
"SD NEGERI KAPUK 05 PG","20101932","SD","Negeri","318","15","Cengkareng","Jakarta Barat","201912"
"SD NEGERI KAPUK 06 PAGI","20105291","SD","Negeri","418","17","Cengkareng","Jakarta Barat","201912"
"SD NEGERI KAPUK 07 PETANG","20101930","SD","Negeri","423","15","Cengkareng","Jakarta Barat","201912"
"SD NEGERI KAPUK 08 PT","20101929","SD","Negeri","375","16","Cengkareng","Jakarta Barat","201912"
"SD NEGERI KAPUK 09 PG","20105294","SD","Negeri","485","17","Cengkareng","Jakarta Barat","201912"
"SD NEGERI KAPUK 10 PT","20105295","SD","Negeri","469","17","Cengkareng","Jakarta Barat","201912"
"SD NEGERI KAPUK 11 PG","20105296","SD","Negeri","399","13","Cengkareng","Jakarta Barat","201912"
"SD NEGERI KAPUK 13 PT","20101925","SD","Negeri","352","10","Cengkareng","Jakarta Barat","201912"
"SD NEGERI KAPUK 14 PG","20105299","SD","Negeri","296","12","Cengkareng","Jakarta Barat","201912"
"SD NEGERI KAPUK 15 PAGI","20102020","SD","Negeri","686","21","Cengkareng","Jakarta Barat","201912"
"SD NEGERI KAPUK 16 PAGI","20105301","SD","Negeri","428","16","Cengkareng","Jakarta Barat","201912"
"SD NEGERI KEDAUNG KALI ANGKE 12 PG.","20101973","SD","Negeri","250","10","Cengkareng","Jakarta Barat","201912"
"SD NEGERI KEDAUNG KALIANGKE 01 PG","20105322","SD","Negeri","281","10","Cengkareng","Jakarta Barat","201912"
"SD NEGERI KEDAUNG KALIANGKE 03 PG","20102011","SD","Negeri","310","13","Cengkareng","Jakarta Barat","201912"
"SD NEGERI KEDAUNG KALIANGKE 05 PG","20102009","SD","Negeri","340","12","Cengkareng","Jakarta Barat","201912"
"SD NEGERI KEDAUNG KALIANGKE 06","20105326","SD","Negeri","421","15","Cengkareng","Jakarta Barat","201912"
"SD NEGERI KEDAUNG KALIANGKE 07 PT","20105327","SD","Negeri","246","9","Cengkareng","Jakarta Barat","201912"
"SD NEGERI KEDAUNG KALIANGKE 08 PG","20101990","SD","Negeri","253","10","Cengkareng","Jakarta Barat","201912"
"SD NEGERI KEDAUNG KALIANGKE 09 PT","20105329","SD","Negeri","188","8","Cengkareng","Jakarta Barat","201912"
"SD NEGERI KEDAUNG KALIANGKE 10","20105330","SD","Negeri","350","13","Cengkareng","Jakarta Barat","201912"
"SD NEGERI KEDAUNG KALIANGKE 11 PG","20105331","SD","Negeri","296","11","Cengkareng","Jakarta Barat","201912"
"SD NEGERI KEDAUNG KALIANGKE 13 PG","20101972","SD","Negeri","267","11","Cengkareng","Jakarta Barat","201912"
"SD NEGERI RAWA BUAYA 02 PG","20101413","SD","Negeri","290","12","Cengkareng","Jakarta Barat","201912"
"SD NEGERI RAWA BUAYA 03 PG","20105474","SD","Negeri","329","16","Cengkareng","Jakarta Barat","201912"
"SD NEGERI RAWA BUAYA 04 PT","20101412","SD","Negeri","322","13","Cengkareng","Jakarta Barat","201912"
"SD NEGERI RAWA BUAYA 05 PT","20105476","SD","Negeri","275","11","Cengkareng","Jakarta Barat","201912"
"SD NEGERI RAWA BUAYA 07 PG","20101424","SD","Negeri","356","13","Cengkareng","Jakarta Barat","201912"
"SD NEGERI RAWA BUAYA 08 PG","20101425","SD","Negeri","391","14","Cengkareng","Jakarta Barat","201912"
"SD NEGERI RAWA BUAYA 09 PG","20101436","SD","Negeri","365","15","Cengkareng","Jakarta Barat","201912"
"SD NEGERI RAWA BUAYA 10 PT","20105480","SD","Negeri","381","15","Cengkareng","Jakarta Barat","201912"
"SDN CENGKARENG BARAT 20 PETANG","20108950","SD","Negeri","284","13","Cengkareng","Jakarta Barat","201912"
"SDN Cengkareng Timur 07 Pagi","20105171","SD","Negeri","375","15","Cengkareng","Jakarta Barat","201912"
"SDN CENGKARENG TIMUR 16 PETANG","20102104","SD","Negeri","349","11","Cengkareng","Jakarta Barat","201912"
"SDN KAPUK 12 PETANG","20101926","SD","Negeri","382","17","Cengkareng","Jakarta Barat","201912"
"SDN KEDAUNG KALIANGKE 14","20101971","SD","Negeri","567","22","Cengkareng","Jakarta Barat","201912"
"SDN Rawa Buaya 01 Pg.","20101414","SD","Negeri","281","15","Cengkareng","Jakarta Barat","201912"
"SD BAPTIS CENGKARENG INDAH","20109177","SD","Swasta","189","9","Cengkareng","Jakarta Barat","201912"
"SD ESTI BAKTI","20105656","SD","Swasta","163","6","Cengkareng","Jakarta Barat","201912"
"SD HARAPAN JAYA","20105665","SD","Swasta","313","18","Cengkareng","Jakarta Barat","201912"
"SD HARAPAN LESTARI","20101748","SD","Swasta","125","8","Cengkareng","Jakarta Barat","201912"
"SD INSAN MULIA","20108957","SD","Swasta","581","20","Cengkareng","Jakarta Barat","201912"
"SD IT AMANI AR-RASYID","69966101","SD","Swasta","155","14","Cengkareng","Jakarta Barat","201912"
"SD KARTINI","20105698","SD","Swasta","42","8","Cengkareng","Jakarta Barat","201912"
"SD KASIH BAGI BANGSA","69964618","SD","Swasta","267","15","Cengkareng","Jakarta Barat","201912"
"SD KASIH IMMANUEL","20109909","SD","Swasta","83","5","Cengkareng","Jakarta Barat","201912"
"SD KERTAPAWITAN","20105708","SD","Swasta","249","20","Cengkareng","Jakarta Barat","201912"
"SD KRISTEN CENDRAWASIH","20101744","SD","Swasta","197","11","Cengkareng","Jakarta Barat","201912"
"SD KRISTEN KALAM KUDUS III","20105693","SD","Swasta","340","20","Cengkareng","Jakarta Barat","201912"
"SD KRISTEN KASIH KARUNIA","20105712","SD","Swasta","281","14","Cengkareng","Jakarta Barat","201912"
"SD KRISTEN RAHMANI II","20105746","SD","Swasta","129","8","Cengkareng","Jakarta Barat","201912"
"SD KRISTEN TIARA KASIH","20105715","SD","Swasta","386","26","Cengkareng","Jakarta Barat","201912"
"SD LAMAHOLOT","20105717","SD","Swasta","153","11","Cengkareng","Jakarta Barat","201912"
"SD LIA STEPHANIE","20108943","SD","Swasta","313","13","Cengkareng","Jakarta Barat","201912"
"SD MERDEKA SARI","20105724","SD","Swasta","406","10","Cengkareng","Jakarta Barat","201912"
"SD NURTURE SPRING","69948740","SD","Swasta","128","11","Cengkareng","Jakarta Barat","201912"
"SD PELITA ABADI","20105739","SD","Swasta","227","12","Cengkareng","Jakarta Barat","201912"
"SD SANTO LEO II","20105760","SD","Swasta","407","22","Cengkareng","Jakarta Barat","201912"
"SD STRADA BINA MULIA I","20105770","SD","Swasta","831","26","Cengkareng","Jakarta Barat","201912"
"SD TRINITAS","20105787","SD","Swasta","103","8","Cengkareng","Jakarta Barat","201912"
"SD VIANNEY","20105797","SD","Swasta","248","17","Cengkareng","Jakarta Barat","201912"
"SDAL-MUKHLISIN","20109310","SD","Swasta","388","18","Cengkareng","Jakarta Barat","201912"
"SDIT AL-MUTTAQIN","69966139","SD","Swasta","303","21","Cengkareng","Jakarta Barat","201912"
"SDS Al-Mukhlisin","20109413","SD","Swasta","326","9","Cengkareng","Jakarta Barat","201912"
"SDS Angela","20105614","SD","Swasta","96","10","Cengkareng","Jakarta Barat","201912"
"SDS ANUGRAH","20105616","SD","Swasta","194","8","Cengkareng","Jakarta Barat","201912"
"SDS Aulia","20105619","SD","Swasta","373","11","Cengkareng","Jakarta Barat","201912"
"SDS BINTANG KEJORA","20105633","SD","Swasta","219","11","Cengkareng","Jakarta Barat","201912"
"SDS Carina Sayang","20105645","SD","Swasta","86","10","Cengkareng","Jakarta Barat","201912"
"SDS Cinta Kasih Tzu Chi","20109042","SD","Swasta","834","44","Cengkareng","Jakarta Barat","201912"
"SDS Impian Bunda","20101745","SD","Swasta","134","8","Cengkareng","Jakarta Barat","201912"
"SDS Islam Al-Huriyyah","20105685","SD","Swasta","201","7","Cengkareng","Jakarta Barat","201912"
"SDS Kemuliaan","20105703","SD","Swasta","171","11","Cengkareng","Jakarta Barat","201912"
"SDS KHUSUS INSAN HARAPAN","69755701","SD","Swasta","158","5","Cengkareng","Jakarta Barat","201912"
"SDS MULIA KENCANA","20109898","SD","Swasta","298","18","Cengkareng","Jakarta Barat","201912"
"SDS Narada","20109213","SD","Swasta","454","28","Cengkareng","Jakarta Barat","201912"
"SDS PAH TSUNG","69786278","SD","Swasta","513","41","Cengkareng","Jakarta Barat","201912"
"SDS Pelita Kasih","20108959","SD","Swasta","238","12","Cengkareng","Jakarta Barat","201912"
"SDS SEHATI","20112512","SD","Swasta","170","8","Cengkareng","Jakarta Barat","201912"
"SDS SERAPHINE BAKTI UTAMA","20105765","SD","Swasta","441","14","Cengkareng","Jakarta Barat","201912"
"SDS Shine Nicholas","20108960","SD","Swasta","54","6","Cengkareng","Jakarta Barat","201912"
"SDS Wawasan Nusantara","20105798","SD","Swasta","376","11","Cengkareng","Jakarta Barat","201912"
"SD NEGERI KALIDERES 05 PG","20105267","SD","Negeri","349","14","Kali Deres","Jakarta Barat","201912"
"SD NEGERI KALIDERES 12 PG","20105273","SD","Negeri","335","13","Kali Deres","Jakarta Barat","201912"
"SDS As Shomadiyah","20105617","SD","Swasta","53","5","Kali Deres","Jakarta Barat","201912"
"SDS Bina Putra","20105632","SD","Swasta","224","12","Kali Deres","Jakarta Barat","201912"
"SDS BLOSSOM SCHOOL","69774883","SD","Swasta","144","11","Kali Deres","Jakarta Barat","201912"
"SDS CITRA KASIH","20109205","SD","Swasta","582","33","Kali Deres","Jakarta Barat","201912"
"SDS Dian Harapan","20109338","SD","Swasta","773","57","Kali Deres","Jakarta Barat","201912"
"SDS Dian Kasih","20105650","SD","Swasta","178","12","Kali Deres","Jakarta Barat","201912"
"SDS DURI INDAH","20108955","SD","Swasta","149","10","Kali Deres","Jakarta Barat","201912"
"SDS GLOBAL MONTESSORI","69764507","SD","Swasta","29","8","Kali Deres","Jakarta Barat","201912"
"SDS HARAPAN BUNDA","69892742","SD","Swasta","36","7","Kali Deres","Jakarta Barat","201912"
"SDS IT AR-RISAALAH","69772515","SD","Swasta","176","11","Kali Deres","Jakarta Barat","201912"
"SDS KEMURNIAN III","20105707","SD","Swasta","308","16","Kali Deres","Jakarta Barat","201912"
"SDS KHUSUS KASIH ANUGERAH","69766212","SD","Swasta","347","23","Kali Deres","Jakarta Barat","201912"
"SDS KRISTEN TUNAS BANGSA","20105788","SD","Swasta","157","11","Kali Deres","Jakarta Barat","201912"
"SDS MENTARI","20105723","SD","Swasta","268","11","Kali Deres","Jakarta Barat","201912"
"SDS Miftahul Muin","20108944","SD","Swasta","311","14","Kali Deres","Jakarta Barat","201912"
"SDS MUSLIMAT","20105732","SD","Swasta","330","17","Kali Deres","Jakarta Barat","201912"
"SDS Padindi","20105735","SD","Swasta","198","4","Kali Deres","Jakarta Barat","201912"
"SDS PELITA ANUGERAH","20110035","SD","Swasta","206","15","Kali Deres","Jakarta Barat","201912"
"SDS SANTO PAULUS II","20105761","SD","Swasta","97","7","Kali Deres","Jakarta Barat","201912"
"SDS TARUNA BANGSA","20105780","SD","Swasta","406","14","Kali Deres","Jakarta Barat","201912"
"SDS Yadika I","20109282","SD","Swasta","493","23","Kali Deres","Jakarta Barat","201912"
"SD NEGERI JOGLO 01 PG","20109067","SD","Negeri","376","15","Kembangan","Jakarta Barat","201912"
"SD NEGERI JOGLO 02 PT","20105251","SD","Negeri","349","14","Kembangan","Jakarta Barat","201912"
"SD NEGERI JOGLO 03 PG","20101916","SD","Negeri","376","14","Kembangan","Jakarta Barat","201912"
"SD NEGERI JOGLO 04 PT","20101915","SD","Negeri","290","13","Kembangan","Jakarta Barat","201912"
"SD NEGERI JOGLO 05 PAGI","20105254","SD","Negeri","377","17","Kembangan","Jakarta Barat","201912"
"SD NEGERI JOGLO 06 PAGI","20101913","SD","Negeri","291","12","Kembangan","Jakarta Barat","201912"
"SD NEGERI JOGLO 07 PT","20105256","SD","Negeri","282","13","Kembangan","Jakarta Barat","201912"
"SD NEGERI JOGLO 08 PG","20101912","SD","Negeri","309","13","Kembangan","Jakarta Barat","201912"
"SD NEGERI JOGLO 09 PG","20108940","SD","Negeri","694","32","Kembangan","Jakarta Barat","201912"
"SD NEGERI JOGLO 10 PAGI","20105259","SD","Negeri","375","17","Kembangan","Jakarta Barat","201912"
"SD NEGERI KEMBANGAN SELATAN 01 PG","20105366","SD","Negeri","592","28","Kembangan","Jakarta Barat","201912"
"SD NEGERI KEMBANGAN SELATAN 03 PAGI","20105368","SD","Negeri","398","21","Kembangan","Jakarta Barat","201912"
